SKU,Description,Extended Descriptions,Department,Category,MSRP,Supplier,SupplierCost,Reordernumber,Default Price,Default Cost,Size,Color,Team,Syncode 1 (Product Line),Barcode Number,Style,League,Series/Sport,Royalty Class,Season,Driver/Player Marks,Car/Player #,Sponsor,Year,Event/Program Marks,Owner,NTP Code,Royalty Code,Brand,Country Origin,Royalty Free,ParentLocation,ImportToAllLocations,BarcodeType,Taxable,ImportCompleted,SpecialInstructions,LocationKey,TaxGroup,ReplyTo
,HOOD UA NOVELTY,,MENS,SS TEES,$89.00 ,NoSupplier,$34.00 ,GEA,$89.00 ,$34.00 ,L,BLK,San Francisco Giants,Inherited,32447,HOOD UA NOVELTY,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE P/O,,MENS,SS TEES,$65.00 ,NoSupplier,$25.00 ,NHS,$65.00 ,$25.00 ,L,BLK,San Francisco Giants,Inherited,44606,HOOD NORCAL SF TRUE P/O,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE P/O,,MENS,SS TEES,$65.00 ,NoSupplier,$26.00 ,NHS,$65.00 ,$26.00 ,XXL,BLK,San Francisco Giants,Inherited,16969,HOOD NORCAL SF TRUE P/O,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW CLASSIC SF,,MENS,SS TEES,$29.99 ,NoSupplier,$20.00 ,GRA,$29.99 ,$20.00 ,L,GRAPHITE,San Francisco Giants,Inherited,16975,CREW CLASSIC SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE P/O,,MENS,SS TEES,$65.00 ,NoSupplier,$25.00 ,NHS,$65.00 ,$25.00 ,M,BLK,San Francisco Giants,Inherited,302081,HOOD NORCAL SF TRUE P/O,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD UA NOVELTY,,MENS,SS TEES,$89.00 ,NoSupplier,$34.00 ,GEA,$89.00 ,$34.00 ,XL,BLK,San Francisco Giants,Inherited,16980,HOOD UA NOVELTY,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD UA NOVELTY,,MENS,SS TEES,$89.00 ,NoSupplier,$34.00 ,GEA,$89.00 ,$34.00 ,M,BLK,San Francisco Giants,Inherited,16382,HOOD UA NOVELTY,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE F/Z,,MENS,SS TEES,$85.00 ,NoSupplier,$32.50 ,NHS,$85.00 ,$32.50 ,S,BLK,San Francisco Giants,Inherited,32487,HOOD NORCAL SF TRUE F/Z,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET HOOD WINGS,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,L,BLK,San Francisco Giants,Inherited,32486,MET HOOD WINGS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO HD,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XXXL,BLK,San Francisco Giants,Inherited,307401,CLASSIC LOGO HD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO HD,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,S,ORG,San Francisco Giants,Inherited,14038,CLASSIC LOGO HD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET HOOD BAND,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XL,BLK,San Francisco Giants,Inherited,32511,MET HOOD BAND,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,FLEECE EVOLVE SF,,MENS,SS TEES,$59.00 ,NoSupplier,$23.02 ,BNR,$59.00 ,$23.02 ,XL,GREY,San Francisco Giants,Inherited,17067,FLEECE EVOLVE SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,FLEECE NK THERMA HZ TOP,,MENS,SS TEES,$79.00 ,NoSupplier,$33.00 ,NIK,$79.00 ,$33.00 ,L,BLK,San Francisco Giants,Inherited,302515,FLEECE NK THERMA HZ TOP,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET HOOD WINGS,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XL,BLK,San Francisco Giants,Inherited,17068,MET HOOD WINGS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW CLASSIC SF,,MENS,SS TEES,$29.99 ,NoSupplier,$20.00 ,GRA,$29.99 ,$20.00 ,XXL,GRAPHITE,San Francisco Giants,Inherited,32519,CREW CLASSIC SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD GIGANTES,,MENS,SS TEES,$39.00 ,NoSupplier,$15.00 ,GRA,$39.00 ,$15.00 ,MED,BLK,San Francisco Giants,Inherited,32510,HOOD GIGANTES,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD RANGE SF,,MENS,SS TEES,$99.00 ,NoSupplier,$41.12 ,NIKG,$99.00 ,$41.12 ,L,BLK,San Francisco Giants,Inherited,32446,HOOD RANGE SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,FLEECE EVOLVE SF,,MENS,SS TEES,$59.00 ,NoSupplier,$23.02 ,BNR,$59.00 ,$23.02 ,XXL,GREY,San Francisco Giants,Inherited,16981,FLEECE EVOLVE SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD GIGANTES,,MENS,SS TEES,$39.00 ,NoSupplier,$15.01 ,GRA,$39.00 ,$15.01 ,XXL,BLK,San Francisco Giants,Inherited,16496,HOOD GIGANTES,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD UA TECH TERRY POPOVER,,MENS,SS TEES,$89.00 ,NoSupplier,$34.00 ,GEA,$89.00 ,$34.00 ,L,CHAR,San Francisco Giants,Inherited,16968,HOOD UA TECH TERRY POPOVER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW ARCH SAN FRANCISCO,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,L,THUNDER,San Francisco Giants,Inherited,3604,CREW ARCH SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CLASSIC LOGO HD,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XXXL,ORG,San Francisco Giants,Inherited,5999,CLASSIC LOGO HD,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,FLEECE NK THERMA HZ TOP,,MENS,SS TEES,$79.00 ,NoSupplier,$33.00 ,NIK,$79.00 ,$33.00 ,M,BLK,San Francisco Giants,Inherited,356,FLEECE NK THERMA HZ TOP,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD UA TECH TERRY POPOVER,,MENS,SS TEES,$89.00 ,NoSupplier,$34.00 ,GEA,$89.00 ,$34.00 ,XL,CHAR,San Francisco Giants,Inherited,13295,HOOD UA TECH TERRY POPOVER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET HOOD BAT BALL,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,L,BLK,San Francisco Giants,Inherited,18521,MET HOOD BAT BALL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD UA NOVELTY,,MENS,SS TEES,$89.00 ,NoSupplier,$34.00 ,GEA,$89.00 ,$34.00 ,XXL,BLK,San Francisco Giants,Inherited,17066,HOOD UA NOVELTY,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD GIGANTES,,MENS,SS TEES,$39.00 ,NoSupplier,$15.00 ,GRA,$39.00 ,$15.00 ,XL,BLK,San Francisco Giants,Inherited,16973,HOOD GIGANTES,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW ARCH SAN FRANCISCO,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XL,THUNDER,San Francisco Giants,Inherited,39665,CREW ARCH SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW SF HOME ALT BLK,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XL,BLK,San Francisco Giants,Inherited,18236,CREW SF HOME ALT BLK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MAYS HOOD AWAY TEAM ORBK,,MENS,SS TEES,$79.00 ,NoSupplier,$33.75 ,MIT,$79.00 ,$33.75 ,XL,ORBK,San Francisco Giants,Inherited,307681,MAYS HOOD AWAY TEAM ORBK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW ARCH SAN FRANCISCO,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,M,THUNDER,San Francisco Giants,Inherited,8775,CREW ARCH SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD GIGANTES,,MENS,SS TEES,$39.00 ,NoSupplier,$15.00 ,GRA,$39.00 ,$15.00 ,LRG,BLK,San Francisco Giants,Inherited,303273,HOOD GIGANTES,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW SF HOME ALT BLK,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,L,BLK,San Francisco Giants,Inherited,28838,CREW SF HOME ALT BLK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD BRIDGE CITY NAME SF,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,M,BLK,San Francisco Giants,Inherited,301891,HOOD BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD BRIDGE CITY NAME SF,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,L,BLK,San Francisco Giants,Inherited,16979,HOOD BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MAYS HOOD AWAY TEAM ORBK,,MENS,SS TEES,$79.00 ,NoSupplier,$33.75 ,MIT,$79.00 ,$33.75 ,L,ORBK,San Francisco Giants,Inherited,16976,MAYS HOOD AWAY TEAM ORBK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,FLEECE NK THERMA HZ TOP,,MENS,SS TEES,$79.00 ,NoSupplier,$33.00 ,NIK,$79.00 ,$33.00 ,XXL,BLK,San Francisco Giants,Inherited,300914,FLEECE NK THERMA HZ TOP,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW SF HOME ALT BLK,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,M,BLK,San Francisco Giants,Inherited,305684,CREW SF HOME ALT BLK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD BRIDGE CITY NAME SF,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XL,BLK,San Francisco Giants,Inherited,16982,HOOD BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW LEVI SF UPDATE,,MENS,SS TEES,$78.00 ,NoSupplier,$31.50 ,LEV,$78.00 ,$31.50 ,XL,GREY,San Francisco Giants,Inherited,32517,CREW LEVI SF UPDATE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,FLEECE NK THERMA HZ TOP,,MENS,SS TEES,$79.00 ,NoSupplier,$33.00 ,NIK,$79.00 ,$33.00 ,XL,BLK,San Francisco Giants,Inherited,32501,FLEECE NK THERMA HZ TOP,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,PULLOVER DRY SF 1/4 ZIP,,MENS,SS TEES,$99.00 ,NoSupplier,$39.00 ,NIKG,$99.00 ,$39.00 ,XL,BLK,San Francisco Giants,Inherited,10590,PULLOVER DRY SF 1/4 ZIP,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW 60TH GIANTS LOGO,,MENS,SS TEES,$29.99 ,NoSupplier,$20.00 ,GRA,$29.99 ,$20.00 ,XXL,BLK,San Francisco Giants,Inherited,305057,CREW 60TH GIANTS LOGO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL STADIUM BEAR F/Z,,MENS,SS TEES,$49.99 ,NoSupplier,$27.50 ,NHS,$49.99 ,$27.50 ,XL,CHAR,San Francisco Giants,Inherited,12720,HOOD NORCAL STADIUM BEAR F/Z,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD RANGE SF,,MENS,SS TEES,$99.00 ,NoSupplier,$41.12 ,NIKG,$99.00 ,$41.12 ,XL,BLK,San Francisco Giants,Inherited,32445,HOOD RANGE SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET HOOD WINGS,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XXL,BLK,San Francisco Giants,Inherited,14037,MET HOOD WINGS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW 60TH GIANTS LOGO,,MENS,SS TEES,$29.99 ,NoSupplier,$20.00 ,GRA,$29.99 ,$20.00 ,XL,BLK,San Francisco Giants,Inherited,32502,CREW 60TH GIANTS LOGO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET HOOD BAND,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,L,BLK,San Francisco Giants,Inherited,32471,MET HOOD BAND,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD UA THREADBORNE 1/4 ZIP,,MENS,SS TEES,$89.00 ,NoSupplier,$32.00 ,GEA,$89.00 ,$32.00 ,XXL,GREY,San Francisco Giants,Inherited,16987,HOOD UA THREADBORNE 1/4 ZIP,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD UA TECH TERRY POPOVER,,MENS,SS TEES,$89.00 ,NoSupplier,$34.00 ,GEA,$89.00 ,$34.00 ,S,CHAR,San Francisco Giants,Inherited,10316,HOOD UA TECH TERRY POPOVER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW LEVI SF UPDATE,,MENS,SS TEES,$78.00 ,NoSupplier,$31.50 ,LEV,$78.00 ,$31.50 ,L,GREY,San Francisco Giants,Inherited,32438,CREW LEVI SF UPDATE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW SF HOME ALT BLK,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XXL,BLK,San Francisco Giants,Inherited,32518,CREW SF HOME ALT BLK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD GIGANTES,,MENS,SS TEES,$39.00 ,NoSupplier,$15.00 ,GRA,$39.00 ,$15.00 ,SMALL,BLK,San Francisco Giants,Inherited,32455,HOOD GIGANTES,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD BRIDGE CITY NAME SF,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XXL,BLK,San Francisco Giants,Inherited,32443,HOOD BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW ARCH SAN FRANCISCO,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XXL,THUNDER,San Francisco Giants,Inherited,14098,CREW ARCH SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW SF HOME ALT BLK,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,S,BLK,San Francisco Giants,Inherited,14026,CREW SF HOME ALT BLK,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,FLEECE EVOLVE SF,,MENS,SS TEES,$59.00 ,NoSupplier,$23.02 ,BNR,$59.00 ,$23.02 ,S,GREY,San Francisco Giants,Inherited,17302,FLEECE EVOLVE SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW ARCH SAN FRANCISCO,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,S,THUNDER,San Francisco Giants,Inherited,300375,CREW ARCH SAN FRANCISCO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD 60TH ANNIV LOGO,,MENS,SS TEES,$29.99 ,NoSupplier,$20.00 ,GRA,$29.99 ,$20.00 ,L,BLK,San Francisco Giants,Inherited,16320,HOOD 60TH ANNIV LOGO,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,CREW LEVI SF UPDATE,,MENS,SS TEES,$78.00 ,NoSupplier,$31.50 ,LEV,$78.00 ,$31.50 ,XXL,GREY,San Francisco Giants,Inherited,32468,CREW LEVI SF UPDATE,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL SF TRUE P/O,,MENS,SS TEES,$65.00 ,NoSupplier,$25.00 ,NHS,$65.00 ,$25.00 ,S,BLK,San Francisco Giants,Inherited,476,HOOD NORCAL SF TRUE P/O,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD RANGE SF,,MENS,SS TEES,$99.00 ,NoSupplier,$41.12 ,NIKG,$99.00 ,$41.12 ,M,BLK,San Francisco Giants,Inherited,39666,HOOD RANGE SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,FLEECE NK THERMA HZ TOP,,MENS,SS TEES,$79.00 ,NoSupplier,$33.00 ,NIK,$79.00 ,$33.00 ,S,BLK,San Francisco Giants,Inherited,16261,FLEECE NK THERMA HZ TOP,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,PULLOVER DRY SF 1/4 ZIP,,MENS,SS TEES,$99.00 ,NoSupplier,$39.00 ,NIKG,$99.00 ,$39.00 ,L,BLK,San Francisco Giants,Inherited,300904,PULLOVER DRY SF 1/4 ZIP,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD NORCAL STADIUM BEAR F/Z,,MENS,SS TEES,$49.99 ,NoSupplier,$27.50 ,NHS,$49.99 ,$27.50 ,L,CHAR,San Francisco Giants,Inherited,32444,HOOD NORCAL STADIUM BEAR F/Z,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD RANGE SF,,MENS,SS TEES,$99.00 ,NoSupplier,$41.12 ,NIKG,$99.00 ,$41.12 ,XL,HEA,San Francisco Giants,Inherited,16970,HOOD RANGE SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD BRIDGE CITY NAME SF,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,S,BLK,San Francisco Giants,Inherited,300913,HOOD BRIDGE CITY NAME SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET HOOD WINGS,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XXXL,BLK,San Francisco Giants,Inherited,32435,MET HOOD WINGS,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD RANGE SF,,MENS,SS TEES,$99.00 ,NoSupplier,$41.12 ,NIKG,$99.00 ,$41.12 ,L,HEA,San Francisco Giants,Inherited,301896,HOOD RANGE SF,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,MET HOOD BAT BALL,,MENS,SS TEES,$49.00 ,NoSupplier,$20.00 ,GRA,$49.00 ,$20.00 ,XL,BLK,San Francisco Giants,Inherited,16986,MET HOOD BAT BALL,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
,HOOD UA TECH TERRY POPOVER,,MENS,SS TEES,$89.00 ,NoSupplier,$34.00 ,GEA,$89.00 ,$34.00 ,M,CHAR,San Francisco Giants,Inherited,17303,HOOD UA TECH TERRY POPOVER,MLB,,,TBD,,,Other,19SP,,,,,,,,757,Y,128A,Y,N,,,Default,jludena@ptpos.com
